surprisal	artpres	noun	verb	verbdeentr	denounentr	verbhetentr	hetnounentr	verbeenentr	eennounentr
6.876467838061631	NOART	verbod	wil	0.03567796	0.009905226	0.02007738	0.004086442	0.01564678	0.003600512
9.63853841822914	NOART	alles	deed	0.05170994	0.0105635	0.08208032	0.004358017	0.02199733	0.01114592
6.059103375970463	NOART	Rafah	ondermijnen	0.03509716	0.01383316	0.008152752	0.005706926	0.007183287	0.005028301
7.095545442629672	NOART	onderzoek	hindert	0.03113401	0.008681425	0.009892005	0.003474975	0.008715721	0.003320121
4.573441099701901	NOART	sancties	freq1	0.01659979	0.009798486	0.006848311	0.004042405	0.00603396	0.003561715
9.411672890562977	NOART	freq1	leveren	0.0145103	0.02766631	0.01448068	0.01141385	0.01376883	0.0100566
8.000322830476266	NOART	woensdag	belooft	0.02805582	0.02305526	0.03242866	0.0139844	0.03124733	0.01285337
4.72925301634781	NOART	niets	ziet	0.04810564	0.005965226	0.03710718	0.00246098	0.01313987	0.002567402
2.2492809993488145	NOART	we	freq1	0.02766631	0.06076688	0.01141385	0.04567178	0.0100566	0.03456981
5.088350198414134	NOART	er	zijn	0.04359132	0.02165041	0.009165201	0.00704899	0.008552853	0.08761552
11.137767278975236	NOART	Hamas	zet	0.06094176	0.01624847	0.01915786	0.006703374	0.01026514	0.009314143
6.012377484067056	NOART	er	moet	0.05157093	0.02165041	0.03686694	0.00704899	0.02746667	0.08761552
1.79701289848792	NOART	je	behoed	0.01844421	0.04036445	0.007609235	0.02510724	0.006704401	0.04618001
10.859416398780013	ART	freq1	dreigt	0.03783589	0.02766631	0.004296592	0.01141385	0.01154343	0.0100566
10.379533936071192	NOART	apothekers	mag	0.03070542	0.01946889	0.01840437	0.008031971	0.01615374	0.007076868
10.188224099309068	NOART	freq1	brengt	0.0860322	0.02871792	0.05381384	0.007419004	0.02447367	0.006536791
7.555496101547783	NOART	middelen	blokkeert	0.03095872	0.01363374	0.01055781	0.00510969	0.00930236	0.005750319
6.4223168594809215	NOART	freq1	steelt	0.02459228	0.02766631	0.01014565	0.01141385	0.008939201	0.0100566
9.397645137349675	NOART	freq1	stuurt	0.02396983	0.01724132	0.01770916	0.007112979	0.009661954	0.02387146
15.198888005285012	NOART	mobieltje	zijn	0.04359132	0.009683205	0.009165201	0.003994848	0.008552853	0.00351981
7.0000932588216	NOART	ik	mis	0.008079543	0.03950345	0.003333248	0.03619421	0.002936885	0.04063049
7.051659524897346	NOART	dorp	verdelen	0.02742938	0.01642688	0.008152752	0.006776975	0.007183287	0.007648427
11.90599654026751	NOART	Teheran	doen	0.03082634	0.01869346	0.03207739	0.007712063	0.00738421	0.01259763
10.421994448044838	NOART	hulp	stopt	0.01265412	0.007534397	0.003649571	0.003108348	0.003215591	0.005385127
5.42007100362577	NOART	freq1	freq1	0.02766631	0.01326854	0.01141385	0.005473992	0.0100566	0.004823065
